item_id_a	item_id_b	mode	action	is_directional	a_is_acting	score
511145.b0009	511145.b0782	binding		f	f	800
511145.b0009	511145.b0784	activation	activation	f	f	185
511145.b0009	511145.b0827	binding		f	f	172
511145.b0009	511145.b1224	binding		f	f	794
511145.b0014	511145.b1411	reaction		t	t	210
511145.b0014	511145.b0015	activation	activation	t	f	190
511145.b0014	511145.b0015	binding		f	f	873
511145.b0014	511145.b0015	catalysis		t	f	190
511145.b0014	511145.b0015	catalysis		t	t	190
511145.b0014	511145.b0015	expression	inhibition	t	t	539
511145.b0014	511145.b0015	inhibition	inhibition	f	f	190
511145.b0014	511145.b0015	reaction		f	f	190
511145.b0014	511145.b0015	reaction		t	f	190
511145.b0014	511145.b0015	reaction		t	t	190
511145.b0014	511145.b0055	catalysis		t	f	171
511145.b0014	511145.b0055	catalysis		t	t	171
511145.b0014	511145.b0055	reaction		f	f	171
511145.b0014	511145.b0055	reaction		t	f	171
511145.b0014	511145.b0055	reaction		t	t	171
511145.b0014	511145.b0172	binding		f	f	181
511145.b0014	511145.b0177	binding		f	f	165
511145.b0014	511145.b0177	reaction		f	f	165
511145.b0014	511145.b0177	reaction		t	f	165
511145.b0014	511145.b0177	reaction		t	t	165
511145.b0014	511145.b0215	binding		f	f	155
511145.b0014	511145.b0318	binding		f	f	181
511145.b0014	511145.b0473	binding		f	f	237
511145.b0014	511145.b0473	reaction		f	f	237
511145.b0014	511145.b0473	reaction		t	f	237
511145.b0014	511145.b0473	reaction		t	t	237
511145.b0014	511145.b0525	binding		f	f	165
511145.b0014	511145.b0525	catalysis		t	f	165
511145.b0014	511145.b0525	catalysis		t	t	165
511145.b0014	511145.b0525	reaction		f	f	165
511145.b0014	511145.b0525	reaction		t	f	165
511145.b0014	511145.b0525	reaction		t	t	165
511145.b0014	511145.b0600	binding		f	f	152
511145.b0014	511145.b0605	reaction		t	f	193
511145.b0014	511145.b0605	reaction		t	t	193
511145.b0014	511145.b0646	binding		f	f	185
511145.b0014	511145.b0646	catalysis		t	f	152
511145.b0014	511145.b0646	catalysis		t	t	152
511145.b0014	511145.b0646	reaction		f	f	152
511145.b0014	511145.b0646	reaction		t	f	152
511145.b0014	511145.b0646	reaction		t	t	152
511145.b0014	511145.b0649	binding		f	f	185
511145.b0014	511145.b0649	catalysis		t	f	152
511145.b0014	511145.b0649	catalysis		t	t	152
511145.b0014	511145.b0649	reaction		f	f	152
511145.b0014	511145.b0649	reaction		t	f	152
511145.b0014	511145.b0649	reaction		t	t	152
511145.b0014	511145.b0723	binding		f	f	188
511145.b0014	511145.b0724	binding		f	f	161
511145.b0014	511145.b0729	binding		f	f	183
511145.b0014	511145.b0755	reaction		t	f	152
511145.b0014	511145.b0755	reaction		t	t	152
511145.b0014	511145.b0882	binding		f	f	179
511145.b0014	511145.b0894	binding		f	f	763
511145.b0014	511145.b0932	reaction		t	f	208
511145.b0014	511145.b0932	reaction		t	t	208
511145.b0014	511145.b0947	binding		f	f	172
511145.b0014	511145.b1000	activation	activation	t	f	190
511145.b0014	511145.b1000	binding		f	f	911
511145.b0014	511145.b1000	catalysis		t	f	190
511145.b0014	511145.b1000	catalysis		t	t	190
511145.b0014	511145.b1000	inhibition	inhibition	f	f	190
511145.b0014	511145.b1000	reaction		f	f	190
511145.b0014	511145.b1000	reaction		t	f	190
511145.b0014	511145.b1000	reaction		t	t	190
511145.b0014	511145.b1024	binding		f	f	185
511145.b0014	511145.b1024	reaction		f	f	185
511145.b0014	511145.b1024	reaction		t	f	185
511145.b0014	511145.b1024	reaction		t	t	185
511145.b0014	511145.b1084	binding		f	f	767
511145.b0014	511145.b1120	binding		f	f	154
511145.b0014	511145.b1120	catalysis		t	f	154
511145.b0014	511145.b1120	catalysis		t	t	154
511145.b0014	511145.b1120	reaction		f	f	154
511145.b0014	511145.b1120	reaction		t	f	154
511145.b0014	511145.b1120	reaction		t	t	154
511145.b0014	511145.b1411	binding		f	f	210
511145.b0014	511145.b1411	catalysis		t	f	206
511145.b0014	511145.b1411	catalysis		t	t	206
511145.b0014	511145.b1411	reaction		f	f	210
511145.b0014	511145.b1411	reaction		t	f	210
511145.b0014	511145.b1559	activation	activation	t	f	165
511145.b0014	511145.b1559	binding		f	f	165
511145.b0014	511145.b1559	catalysis		t	f	165
511145.b0014	511145.b1559	catalysis		t	t	165
511145.b0014	511145.b1559	inhibition	inhibition	f	f	165
511145.b0014	511145.b1559	reaction		f	f	165
511145.b0014	511145.b1559	reaction		t	f	165
511145.b0014	511145.b1559	reaction		t	t	165
511145.b0014	511145.b1611	binding		f	f	181
511145.b0014	511145.b1732	reaction		t	f	209
511145.b0014	511145.b1732	reaction		t	t	209
511145.b0014	511145.b2195	binding		f	f	185
511145.b0014	511145.b2195	inhibition	inhibition	t	f	179
511145.b0014	511145.b2195	reaction		f	f	189
511145.b0014	511145.b2195	reaction		t	f	189
511145.b0014	511145.b2195	reaction		t	t	189
511145.b0014	511145.b2231	binding		f	f	818
511145.b0014	511145.b2275	binding		f	f	185
511145.b0014	511145.b2275	reaction		f	f	185
511145.b0014	511145.b2275	reaction		t	f	185
511145.b0014	511145.b2275	reaction		t	t	185
511145.b0014	511145.b2290	binding		f	f	152
511145.b0014	511145.b2508	reaction		t	f	187
511145.b0014	511145.b2508	reaction		t	t	187
511145.b0014	511145.b2525	binding		f	f	172
511145.b0014	511145.b2527	catalysis		t	f	171
511145.b0014	511145.b2527	catalysis		t	t	171
511145.b0014	511145.b2527	reaction		f	f	171
511145.b0014	511145.b2527	reaction		t	f	171
511145.b0014	511145.b2527	reaction		t	t	171
511145.b0014	511145.b2549	binding		f	f	185
511145.b0014	511145.b2549	reaction		f	f	185
511145.b0014	511145.b2549	reaction		t	f	185
511145.b0014	511145.b2549	reaction		t	t	185
511145.b0014	511145.b2567	binding		f	f	165
511145.b0014	511145.b2567	catalysis		t	f	165
511145.b0014	511145.b2567	catalysis		t	t	165
511145.b0014	511145.b2567	reaction		f	f	165
511145.b0014	511145.b2567	reaction		t	f	165
511145.b0014	511145.b2567	reaction		t	t	165
511145.b0014	511145.b2584	binding		f	f	185
511145.b0014	511145.b2584	reaction		t	f	191
511145.b0014	511145.b2584	reaction		t	t	191
511145.b0014	511145.b2592	binding		f	f	509
511145.b0014	511145.b2599	binding		f	f	401
511145.b0014	511145.b2614	binding		f	f	878
511145.b0014	511145.b2614	catalysis		t	f	171
511145.b0014	511145.b2614	catalysis		t	t	171
511145.b0014	511145.b2614	reaction		f	f	171
511145.b0014	511145.b2614	reaction		t	f	171
511145.b0014	511145.b2614	reaction		t	t	171
511145.b0014	511145.b2779	binding		f	f	169
511145.b0014	511145.b2851	binding		f	f	185
511145.b0014	511145.b2851	reaction		f	f	185
511145.b0014	511145.b2851	reaction		t	f	185
511145.b0014	511145.b2851	reaction		t	t	185
511145.b0014	511145.b2852	binding		f	f	185
511145.b0014	511145.b2852	reaction		f	f	185
511145.b0014	511145.b2852	reaction		t	f	185
511145.b0014	511145.b2852	reaction		t	t	185
511145.b0014	511145.b3030	binding		f	f	159
511145.b0014	511145.b3164	binding		f	f	782
511145.b0014	511145.b3207	binding		f	f	183
511145.b0014	511145.b3207	reaction		t	f	181
511145.b0014	511145.b3207	reaction		t	t	181
511145.b0014	511145.b3231	binding		f	f	177
511145.b0014	511145.b3236	binding		f	f	177
511145.b0014	511145.b3295	binding		f	f	237
511145.b0014	511145.b3295	catalysis		t	f	237
511145.b0014	511145.b3295	catalysis		t	t	237
511145.b0014	511145.b3295	reaction		f	f	237
511145.b0014	511145.b3295	reaction		t	f	237
511145.b0014	511145.b3295	reaction		t	t	237
511145.b0014	511145.b3313	binding		f	f	237
511145.b0014	511145.b3340	binding		f	f	237
511145.b0014	511145.b3340	catalysis		t	f	237
511145.b0014	511145.b3340	catalysis		t	t	237
511145.b0014	511145.b3340	reaction		f	f	237
511145.b0014	511145.b3340	reaction		t	f	237
511145.b0014	511145.b3340	reaction		t	t	237
511145.b0014	511145.b3347	binding		f	f	179
511145.b0014	511145.b3347	reaction		f	f	179
511145.b0014	511145.b3347	reaction		t	f	179
511145.b0014	511145.b3347	reaction		t	t	179
511145.b0014	511145.b3363	binding		f	f	165
511145.b0014	511145.b3363	catalysis		t	f	165
511145.b0014	511145.b3363	catalysis		t	t	165
511145.b0014	511145.b3363	reaction		f	f	165
511145.b0014	511145.b3363	reaction		t	f	165
511145.b0014	511145.b3363	reaction		t	t	165
511145.b0014	511145.b3461	activation	activation	t	f	484
511145.b0014	511145.b3461	binding		f	f	904
511145.b0014	511145.b3530	binding		f	f	185
511145.b0014	511145.b3530	reaction		f	f	185
511145.b0014	511145.b3530	reaction		t	f	185
511145.b0014	511145.b3530	reaction		t	t	185
511145.b0014	511145.b3630	binding		f	f	183
511145.b0014	511145.b3630	reaction		t	f	181
511145.b0014	511145.b3630	reaction		t	t	181
511145.b0014	511145.b3640	binding		f	f	175
511145.b0014	511145.b3699	binding		f	f	159
511145.b0014	511145.b3926	reaction		t	f	188
511145.b0014	511145.b3926	reaction		t	t	188
511145.b0014	511145.b3983	binding		f	f	171
511145.b0014	511145.b3987	binding		f	f	237
511145.b0014	511145.b3987	catalysis		t	f	237
511145.b0014	511145.b3987	catalysis		t	t	237
511145.b0014	511145.b3987	reaction		f	f	237
511145.b0014	511145.b3987	reaction		t	f	237
511145.b0014	511145.b3987	reaction		t	t	237
511145.b0014	511145.b3988	binding		f	f	199
511145.b0014	511145.b3988	catalysis		t	f	197
511145.b0014	511145.b3988	catalysis		t	t	197
511145.b0014	511145.b3988	reaction		f	f	197
511145.b0014	511145.b3988	reaction		t	f	197
511145.b0014	511145.b3988	reaction		t	t	197
511145.b0014	511145.b4017	binding		f	f	181
511145.b0014	511145.b4025	reaction		t	f	153
511145.b0014	511145.b4025	reaction		t	t	153
511145.b0014	511145.b4051	binding		f	f	154
511145.b0014	511145.b4051	catalysis		t	f	154
511145.b0014	511145.b4051	catalysis		t	t	154
511145.b0014	511145.b4051	reaction		f	f	154
511145.b0014	511145.b4051	reaction		t	f	154
511145.b0014	511145.b4051	reaction		t	t	154
511145.b0014	511145.b4143	binding		f	f	911
511145.b0014	511145.b4153	binding		f	f	161
511145.b0014	511145.b4154	binding		f	f	188
511145.b0014	511145.b4207	binding		f	f	179
511145.b0014	511145.b4207	reaction		f	f	179
511145.b0014	511145.b4207	reaction		t	f	179
511145.b0014	511145.b4207	reaction		t	t	179
511145.b0014	511145.b4481	reaction		t	f	171
511145.b0014	511145.b4481	reaction		t	t	171
511145.b0015	511145.b2851	reaction		t	t	185
511145.b0015	511145.b0014	activation	activation	t	t	190
511145.b0015	511145.b0014	binding		f	f	873
511145.b0015	511145.b0014	catalysis		t	f	190
511145.b0015	511145.b0014	catalysis		t	t	190
511145.b0015	511145.b0014	expression	inhibition	t	f	539
511145.b0015	511145.b0014	inhibition	inhibition	f	f	190
511145.b0015	511145.b0014	reaction		f	f	190
511145.b0015	511145.b0014	reaction		t	f	190
511145.b0015	511145.b0014	reaction		t	t	190
511145.b0015	511145.b0033	binding		f	f	173
511145.b0015	511145.b0094	binding		f	f	212
511145.b0015	511145.b0168	reaction		t	f	152
511145.b0015	511145.b0168	reaction		t	t	152
511145.b0015	511145.b0473	binding		f	f	179
511145.b0015	511145.b0473	catalysis		t	f	272
511145.b0015	511145.b0473	catalysis		t	t	272
511145.b0015	511145.b0473	reaction		f	f	278
511145.b0015	511145.b0473	reaction		t	f	278
511145.b0015	511145.b0473	reaction		t	t	278
511145.b0015	511145.b0487	binding		f	f	173
511145.b0015	511145.b0605	reaction		t	f	151
511145.b0015	511145.b0605	reaction		t	t	151
511145.b0015	511145.b0607	binding		f	f	273
511145.b0015	511145.b0650	activation	activation	t	t	165
511145.b0015	511145.b0650	binding		f	f	165
511145.b0015	511145.b0650	catalysis		t	f	165
511145.b0015	511145.b0650	catalysis		t	t	165
511145.b0015	511145.b0650	inhibition	inhibition	f	f	165
511145.b0015	511145.b0650	reaction		f	f	165
511145.b0015	511145.b0650	reaction		t	f	165
511145.b0015	511145.b0650	reaction		t	t	165
511145.b0015	511145.b0661	binding		f	f	329
511145.b0015	511145.b0882	binding		f	f	172
511145.b0015	511145.b0924	binding		f	f	186
511145.b0015	511145.b0999	binding		f	f	173
511145.b0015	511145.b1024	reaction		f	f	185
511145.b0015	511145.b1024	reaction		t	f	185
511145.b0015	511145.b1024	reaction		t	t	185
511145.b0015	511145.b1162	binding		f	f	173
511145.b0015	511145.b1224	binding		f	f	326
511145.b0015	511145.b1623	binding		f	f	235
511145.b0015	511145.b1623	reaction		t	f	151
511145.b0015	511145.b1623	reaction		t	t	151
511145.b0015	511145.b1860	binding		f	f	342
511145.b0015	511145.b2069	activation	activation	t	t	165
511145.b0015	511145.b2069	binding		f	f	165
511145.b0015	511145.b2069	catalysis		t	f	165
511145.b0015	511145.b2069	catalysis		t	t	165
511145.b0015	511145.b2069	inhibition	inhibition	f	f	165
511145.b0015	511145.b2069	reaction		f	f	165
511145.b0015	511145.b2069	reaction		t	f	165
511145.b0015	511145.b2069	reaction		t	t	165
511145.b0015	511145.b2096	binding		f	f	329
511145.b0015	511145.b2127	binding		f	f	173
511145.b0015	511145.b2195	binding		f	f	181
511145.b0015	511145.b2195	catalysis		t	f	181
511145.b0015	511145.b2195	catalysis		t	t	181
511145.b0015	511145.b2195	reaction		t	f	181
511145.b0015	511145.b2195	reaction		t	t	181
511145.b0015	511145.b2231	binding		f	f	171
511145.b0015	511145.b2275	reaction		f	f	185
511145.b0015	511145.b2275	reaction		t	f	185
511145.b0015	511145.b2275	reaction		t	t	185
511145.b0015	511145.b2526	activation	activation	t	t	185
511145.b0015	511145.b2526	binding		f	f	185
511145.b0015	511145.b2526	catalysis		t	f	185
511145.b0015	511145.b2526	catalysis		t	t	185
511145.b0015	511145.b2526	inhibition	inhibition	f	f	185
511145.b0015	511145.b2526	reaction		f	f	185
511145.b0015	511145.b2526	reaction		t	f	185
511145.b0015	511145.b2526	reaction		t	t	185
511145.b0015	511145.b2549	reaction		f	f	185
511145.b0015	511145.b2549	reaction		t	f	185
511145.b0015	511145.b2549	reaction		t	t	185
511145.b0015	511145.b2576	binding		f	f	225
511145.b0015	511145.b2584	binding		f	f	227
511145.b0015	511145.b2584	reaction		t	f	163
511145.b0015	511145.b2584	reaction		t	t	163
511145.b0015	511145.b2592	binding		f	f	172
511145.b0015	511145.b2699	binding		f	f	408
511145.b0015	511145.b2744	binding		f	f	169
511145.b0015	511145.b2851	reaction		f	f	185
511145.b0015	511145.b2851	reaction		t	f	185
511145.b0015	511145.b4063	binding		f	f	173
511145.b0015	511145.b4143	reaction		t	f	256
511145.b0015	511145.b4143	reaction		t	t	256
511145.b0015	511145.b2852	reaction		f	f	185
511145.b0015	511145.b2852	reaction		t	f	185
511145.b0015	511145.b2852	reaction		t	t	185
511145.b0015	511145.b2942	binding		f	f	253
511145.b0015	511145.b3251	binding		f	f	294
511145.b0015	511145.b3292	binding		f	f	173
511145.b0015	511145.b3340	activation	activation	t	t	152
511145.b0015	511145.b3418	binding		f	f	355
511145.b0015	511145.b3530	reaction		f	f	185
511145.b0015	511145.b3530	reaction		t	f	185
511145.b0015	511145.b3530	reaction		t	t	185
511145.b0015	511145.b3560	binding		f	f	290
511145.b0015	511145.b3590	binding		f	f	194
511145.b0015	511145.b3644	binding		f	f	358
511145.b0015	511145.b3656	reaction		t	f	169
511145.b0015	511145.b3656	reaction		t	t	169
511145.b0015	511145.b3687	binding		f	f	194
511145.b0015	511145.b3725	binding		f	f	261
511145.b0015	511145.b3783	binding		f	f	153
511145.b0015	511145.b3878	reaction		t	f	169
511145.b0015	511145.b3878	reaction		t	t	169
511145.b0019	511145.b0020	expression		t	f	426
511145.b0020	511145.b2696	expression	inhibition	t	f	401
511145.b0020	511145.b0019	expression		t	t	426
511145.b0023	511145.b3308	binding		f	f	900
511145.b0023	511145.b0145	expression	inhibition	t	f	401
511145.b0023	511145.b0169	binding		f	f	914
511145.b0023	511145.b0693	binding		f	f	794
511145.b0023	511145.b0911	binding		f	f	908
511145.b0023	511145.b1089	binding		f	f	900
511145.b0023	511145.b1203	binding	activation	t	t	900
511145.b0023	511145.b1269	binding		f	f	184
511145.b0023	511145.b1480	binding		f	f	900
511145.b0023	511145.b1716	binding		f	f	900
511145.b0023	511145.b1717	binding		f	f	900
511145.b0023	511145.b2185	binding		f	f	900
511145.b0023	511145.b2581	binding		f	f	222
511145.b0023	511145.b2597	binding		f	f	742
511145.b0023	511145.b2606	binding		f	f	900
511145.b0023	511145.b2609	binding		f	f	914
511145.b0023	511145.b2938	binding		f	f	794
511145.b0023	511145.b3065	binding		f	f	914
511145.b0023	511145.b3165	binding		f	f	914
511145.b0023	511145.b3185	binding		f	f	900
511145.b0023	511145.b3186	binding		f	f	900
511145.b0023	511145.b3203	binding		f	f	575
511145.b0023	511145.b3230	binding		f	f	914
511145.b0023	511145.b3231	binding		f	f	900
511145.b0023	511145.b3294	binding		f	f	900
511145.b0023	511145.b3296	binding		f	f	914
511145.b0023	511145.b3297	binding		f	f	914
511145.b0023	511145.b3298	binding		f	f	914
511145.b0023	511145.b3299	binding		f	f	900
511145.b0023	511145.b3301	binding		f	f	900
511145.b0023	511145.b3302	binding		f	f	900
511145.b0023	511145.b3303	binding		f	f	914
511145.b0023	511145.b3304	binding		f	f	900
511145.b0023	511145.b3305	binding		f	f	900
511145.b0023	511145.b3306	binding		f	f	914
511145.b0023	511145.b3307	binding		f	f	914
511145.b0023	511145.b3309	binding		f	f	900
511145.b0023	511145.b3310	binding		f	f	900
511145.b0023	511145.b3311	binding		f	f	914
511145.b0023	511145.b3312	binding		f	f	900
511145.b0023	511145.b3313	binding		f	f	900
511145.b0023	511145.b3314	binding		f	f	914
511145.b0023	511145.b3315	binding		f	f	900
511145.b0023	511145.b3316	binding		f	f	914
511145.b0023	511145.b3317	binding		f	f	900
511145.b0023	511145.b3318	binding		f	f	900
511145.b0023	511145.b3319	binding		f	f	900
511145.b0023	511145.b3320	binding		f	f	900
511145.b0023	511145.b3321	binding		f	f	914
511145.b0023	511145.b3341	binding		f	f	914
511145.b0023	511145.b3342	binding		f	f	914
511145.b0023	511145.b3486	binding		f	f	720
511145.b0023	511145.b3636	binding		f	f	900
511145.b0023	511145.b3637	binding		f	f	900
511145.b0023	511145.b3703	binding		f	f	900
511145.b0023	511145.b3936	binding		f	f	900
511145.b0023	511145.b3983	binding		f	f	900
511145.b0023	511145.b3984	binding		f	f	900
511145.b0023	511145.b3985	binding		f	f	900
511145.b0023	511145.b3986	binding		f	f	900
511145.b0023	511145.b4161	binding	activation	t	t	900
511145.b0023	511145.b4179	binding		f	f	191
511145.b0023	511145.b4200	binding		f	f	914
511145.b0023	511145.b4202	binding		f	f	914
511145.b0023	511145.b4203	binding		f	f	900
511145.b0025	511145.b4055	binding		f	f	800
511145.b0025	511145.b0844	binding		f	f	813
511145.b0025	511145.b0980	binding		f	f	800
511145.b0025	511145.b1094	binding		f	f	322
511145.b0025	511145.b1198	binding		f	f	204
511145.b0025	511145.b1662	binding		f	f	306
511145.b0025	511145.b1882	binding		f	f	152
511145.b0025	511145.b2383	binding		f	f	177
511145.b0025	511145.b2819	binding		f	f	478
511145.b0025	511145.b3812	binding		f	f	806
511145.b0025	511145.b3947	binding		f	f	177
511145.b0026	511145.b0642	binding		f	f	547
511145.b0026	511145.b0144	binding		f	f	252
511145.b0026	511145.b0194	binding		f	f	381
511145.b0026	511145.b0680	binding		f	f	252
511145.b0026	511145.b0838	binding		f	f	179
511145.b0026	511145.b0930	binding		f	f	390
511145.b0026	511145.b0975	binding		f	f	192
511145.b0026	511145.b1454	binding		f	f	179
511145.b0026	511145.b1635	binding		f	f	179
511145.b0026	511145.b1637	binding		f	f	185
511145.b0026	511145.b1713	binding		f	f	177
511145.b0026	511145.b1876	binding		f	f	381
511145.b0026	511145.b2114	binding		f	f	345
511145.b0026	511145.b2301	binding		f	f	179
511145.b0026	511145.b2302	binding		f	f	179
511145.b0026	511145.b2400	binding		f	f	252
511145.b0026	511145.b2890	binding		f	f	300
511145.b0026	511145.b2989	binding		f	f	179
511145.b0026	511145.b3229	binding		f	f	179
511145.b0026	511145.b3592	binding		f	f	179
511145.b0026	511145.b3751	binding		f	f	284
511145.b0026	511145.b4129	binding		f	f	300
511145.b0026	511145.b4258	binding		f	f	185
511145.b0028	511145.b4179	binding		f	f	313
511145.b0029	511145.b4171	binding		f	f	205
511145.b0029	511145.b0171	binding		f	f	152
511145.b0029	511145.b0174	binding		f	f	173
511145.b0029	511145.b0421	binding		f	f	313
511145.b0029	511145.b0911	binding		f	f	293
511145.b0029	511145.b1204	binding		f	f	478
511145.b0029	511145.b3187	binding		f	f	185
511145.b0030	511145.b0651	binding		f	f	252
511145.b0031	511145.b3225	binding		f	f	284
511145.b0031	511145.b4024	binding		f	f	309
511145.b0031	511145.b4298	binding		f	f	284
511145.b0031	511145.b0002	binding		f	f	309
511145.b0031	511145.b0268	binding		f	f	284
511145.b0031	511145.b1190	binding		f	f	369
511145.b0031	511145.b2478	binding		f	f	461
511145.b0031	511145.b3940	binding		f	f	309
511145.b0032	511145.b3729	binding		f	f	214
511145.b0032	511145.b3870	binding		f	f	207
511145.b0032	511145.b4244	binding		f	f	158
511145.b0032	511145.b0033	binding		f	f	975
511145.b0032	511145.b1297	binding		f	f	152
511145.b0032	511145.b1378	binding		f	f	163
511145.b0032	511145.b2878	binding		f	f	191
511145.b0032	511145.b3212	binding		f	f	422
511145.b0032	511145.b4245	binding		f	f	607
511145.b0032	511145.b3844	binding		f	f	158
511145.b0033	511145.b0002	binding		f	f	211
511145.b0033	511145.b0015	binding		f	f	173
511145.b0033	511145.b0032	binding		f	f	975
511145.b0033	511145.b0273	binding		f	f	217
511145.b0033	511145.b0522	binding		f	f	206
511145.b0033	511145.b0928	binding		f	f	175
511145.b0033	511145.b1062	binding		f	f	235
511145.b0033	511145.b1297	binding		f	f	161
511145.b0033	511145.b1378	binding		f	f	163
511145.b0033	511145.b2255	binding		f	f	227
511145.b0033	511145.b2312	binding		f	f	380
511145.b0033	511145.b2319	binding		f	f	157
511145.b0033	511145.b2780	binding		f	f	154
511145.b0033	511145.b2870	binding		f	f	217
511145.b0033	511145.b2878	binding		f	f	153
511145.b0033	511145.b3172	binding		f	f	298
511145.b0033	511145.b3212	binding		f	f	422
511145.b0033	511145.b3430	binding		f	f	384
511145.b0033	511145.b3433	binding		f	f	157
511145.b0033	511145.b3729	binding		f	f	161
511145.b0033	511145.b3844	binding		f	f	266
511145.b0033	511145.b3870	binding		f	f	211
511145.b0033	511145.b3940	binding		f	f	211
511145.b0033	511145.b4005	binding		f	f	382
511145.b0033	511145.b4054	binding		f	f	175
511145.b0033	511145.b4244	binding		f	f	158
511145.b0033	511145.b4245	binding		f	f	795
511145.b0033	511145.b4254	binding		f	f	217
511145.b0035	511145.b2285	binding		f	f	181
511145.b0036	511145.b0039	binding		f	f	165
511145.b0036	511145.b0039	reaction		t	f	165
511145.b0036	511145.b0039	reaction		t	t	165
511145.b0036	511145.b0077	reaction		t	f	163
511145.b0036	511145.b0077	reaction		t	t	163
511145.b0036	511145.b0169	binding		f	f	167
511145.b0036	511145.b0221	binding		f	f	165
511145.b0036	511145.b0221	reaction		t	f	165
511145.b0036	511145.b0221	reaction		t	t	165
511145.b0036	511145.b0871	reaction		t	f	163
511145.b0036	511145.b0871	reaction		t	t	163
511145.b0036	511145.b0993	binding		f	f	211
511145.b0036	511145.b1014	binding		f	f	212
511145.b0036	511145.b3321	binding		f	f	169
511145.b0036	511145.b3341	binding		f	f	172
511145.b0036	511145.b3671	reaction		t	f	163
511145.b0036	511145.b3671	reaction		t	t	163
511145.b0036	511145.b3845	binding		f	f	193
511145.b0036	511145.b4069	binding		f	f	152
511145.b0036	511145.b4187	binding		f	f	165
511145.b0036	511145.b4187	reaction		t	f	165
511145.b0036	511145.b4187	reaction		t	t	165
511145.b0036	511145.b1241	binding		f	f	169
511145.b0036	511145.b1253	binding		f	f	161
511145.b0036	511145.b1378	binding		f	f	198
511145.b0036	511145.b1387	binding		f	f	297
511145.b0036	511145.b1387	reaction		f	f	179
511145.b0036	511145.b1387	reaction		t	f	205
511145.b0036	511145.b1387	reaction		t	t	205
511145.b0036	511145.b1397	binding		f	f	193
511145.b0036	511145.b1695	binding		f	f	165
511145.b0036	511145.b1695	reaction		t	f	165
511145.b0036	511145.b1695	reaction		t	t	165
511145.b0036	511145.b2216	binding		f	f	175
511145.b0036	511145.b2218	binding		f	f	181
511145.b0036	511145.b2224	binding		f	f	193
511145.b0036	511145.b2342	binding		f	f	193
511145.b0036	511145.b2370	binding		f	f	211
511145.b0036	511145.b2373	reaction		t	f	163
511145.b0036	511145.b2373	reaction		t	t	163
511145.b0036	511145.b2584	binding		f	f	150
511145.b0036	511145.b2609	binding		f	f	157
511145.b0036	511145.b2844	binding		f	f	193
511145.b0036	511145.b3165	binding		f	f	157
