item_id_a	item_id_b	mode	action	is_directional	a_is_acting	score
511145.b0002	511145.b3607	binding		f	f	183
511145.b0002	511145.b0031	binding		f	f	309
511145.b0002	511145.b0033	binding		f	f	211
511145.b0002	511145.b0268	binding		f	f	213
511145.b0002	511145.b0600	binding		f	f	357
511145.b0002	511145.b0674	binding		f	f	258
511145.b0002	511145.b1096	binding		f	f	243
511145.b0002	511145.b1622	binding		f	f	208
511145.b0002	511145.b2058	binding		f	f	183
511145.b0002	511145.b2290	binding		f	f	357
511145.b0002	511145.b2319	binding		f	f	430
511145.b0002	511145.b2379	binding		f	f	357
511145.b0002	511145.b2478	binding		f	f	214
511145.b0002	511145.b2784	binding		f	f	152
511145.b0002	511145.b2838	binding		f	f	540
511145.b0002	511145.b3008	binding		f	f	215
511145.b0002	511145.b3172	binding		f	f	430
511145.b0002	511145.b3225	binding		f	f	213
511145.b0002	511145.b3347	binding		f	f	169
511145.b0002	511145.b3376	binding		f	f	215
511145.b0002	511145.b3433	binding		f	f	430
511145.b0002	511145.b3650	binding		f	f	152
511145.b0002	511145.b3770	binding		f	f	243
511145.b0002	511145.b3829	binding		f	f	210
511145.b0002	511145.b3939	binding		f	f	215
511145.b0002	511145.b3940	binding		f	f	878
511145.b0002	511145.b4019	binding		f	f	605
511145.b0002	511145.b4024	binding		f	f	814
511145.b0002	511145.b4139	binding		f	f	196
511145.b0002	511145.b4177	binding		f	f	274
511145.b0002	511145.b4207	binding		f	f	169
511145.b0002	511145.b4298	binding		f	f	213
511145.b0003	511145.b2560	binding		f	f	153
511145.b0003	511145.b4019	binding		f	f	432
511145.b0003	511145.b4388	binding		f	f	210
511145.b0003	511145.b0004	binding		f	f	456
511145.b0004	511145.b2871	binding		f	f	152
511145.b0004	511145.b3117	binding		f	f	185
511145.b0004	511145.b3772	binding		f	f	394
511145.b0004	511145.b0003	binding		f	f	456
511145.b0004	511145.b0907	binding		f	f	183
511145.b0004	511145.b1581	binding		f	f	379
511145.b0004	511145.b1896	binding		f	f	227
511145.b0008	511145.b1207	binding		f	f	153
511145.b0008	511145.b1852	binding		f	f	158
511145.b0008	511145.b2464	binding		f	f	800
511145.b0008	511145.b2465	binding		f	f	278
511145.b0008	511145.b2779	binding		f	f	171
511145.b0008	511145.b2935	binding		f	f	278
511145.b0008	511145.b3236	binding		f	f	212
511145.b0008	511145.b3612	binding		f	f	194
511145.b0008	511145.b3781	binding		f	f	292
511145.b0008	511145.b3919	binding		f	f	237
511145.b0008	511145.b4025	binding		f	f	306
511145.b0008	511145.b0071	binding		f	f	398
511145.b0008	511145.b0134	binding		f	f	365
511145.b0008	511145.b0688	binding		f	f	442
511145.b0008	511145.b1378	binding		f	f	430
511145.b0009	511145.b2231	binding		f	f	409
511145.b0009	511145.b3856	binding		f	f	879
